,Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status
63941,20080219X00204,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,C-152,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's improper decision to takeoff from an inadequate field after a forced landing.
63943,20080115X00052,Accident,2008,WY,United States,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain control of the airplane. Contributing factors in this accident were the unfavorable wind and the snow bank.
63944,20080116X00062,Accident,2008,OH,United States,Fatal,Substantial,Airplane,Cessna,340,2.0,,4.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain sufficient airspeed to avoid a stall during the landing approach.
63946,20080123X00090,Accident,2008,FL,United States,Fatal,Substantial,Airplane,Cessna,172L,1.0,Joseph P. Bellamy,3.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain airspeed while maneuvering for approach to land. Contributing to the accident was the pilot's operation of the airplane above the design gross weight.
63949,20080213X00180,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,,0.0,0.0,0.0,1.0,VMC,The collapse of the right main landing gear during landing for undetermined reasons.
63950,20080304X00261,Accident,2008,AL,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to attain the proper touchdown point.
63951,20080117X00069,Accident,2008,WA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-12,1.0,Dwayne A. Hansen,0.0,1.0,0.0,1.0,VMC,A loss of engine power due to carburetor icing conditions and the failure of the pilot to use the correct amount of carburetor heat for the existing conditions.
63957,20080312X00302,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,1.0,,0.0,0.0,0.0,1.0,VMC,The failure of the pilot-in-command to maintain directional control of the airplane during landing.
63958,20080118X00074,Accident,2008,AK,United States,Non-Fatal,Substantial,Airplane,Cessna,208B,1.0,,0.0,1.0,0.0,4.0,VMC,"The pilot's selection of unsuitable terrain for landing. Contributing to the accident were snow-covered terrain, blowing snow and flat lighting conditions."
63961,20080118X00075,Accident,2008,AK,United States,Non-Fatal,Substantial,Airplane,Cessna,207,1.0,Inland Aviation Services Inc.,0.0,0.0,1.0,0.0,IMC,"A partial loss of engine power for an undetermined reason. Contributing to the accident were the pilot's inadvertent encounter with IMC conditions, and a whiteout during his attempted go-around from an emergency landing approach."
63963,20080318X00329,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Beech,58P,2.0,,0.0,0.0,0.0,2.0,VMC,The pilot's loss of control on landing.  A factor was a gusting crosswind component.
63968,20080220X00218,Accident,2008,NM,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-301XTC,1.0,,0.0,0.0,0.0,4.0,VMC,The pilot's excessive airspeed during the approach and loss of control during the landing.  Contributing factors were the mountain turbulence and the snowbank.
63971,20080128X00111,Accident,2008,TX,United States,Fatal,Destroyed,Airplane,Piper,PA46-500TP,1.0,William Easterling,1.0,0.0,0.0,0.0,IMC,The pilot's failure to execute an instrument approach. Contributing to the accident was the pilot's impairment due to recent use of over-the-counter medication.
63978,20080130X00124,Accident,2008,CA,United States,Fatal,Destroyed,Airplane,Cessna,172N,1.0,Funoutside,4.0,0.0,0.0,0.0,VMC,The failure of both pilots to see and avoid the other airplane.
63979,20080131X00125,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,U206F,1.0,Edwin L. Guillet,0.0,0.0,0.0,3.0,VMC,"The probable cause of this accident is undetermined.


"
63983,20080307X00284,Accident,2008,MN,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,,0.0,0.0,0.0,1.0,VMC,The student pilot's failure to maintain directional control of the airplane during the landing roll.  Contributing to the accident were the snow-covered runway and the gusty wind conditions.
63985,20080220X00220,Accident,2008,IL,United States,Non-Fatal,Substantial,Airplane,Beech,58,2.0,,0.0,0.0,0.0,1.0,VMC,Maintenance personnel's improper replacement of the landing gear leg brace assembly which subsequently failed to keep the landing gear in the locked position.
63988,20080210X00161,Accident,2008,SC,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-R200,1.0,Rock Hill Aviation,0.0,2.0,0.0,0.0,VMC,"Loss of engine power due to improper welding of the crankcase, which resulted in fatigue failure of the through-studs and a subsequent separation of the number two cylinder. Contributing to the accident was the unsuitable terrain for a forced landing."
63989,20080229X00248,Accident,2008,OR,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,,0.0,1.0,0.0,2.0,VMC,The pilot's inadequate in-flight planning/decision to land on a snow covered runway without first determining the depth of the snow.
63994,20080304X00258,Accident,2008,MD,United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,American Pilot Services,0.0,0.0,0.0,1.0,VMC,The student pilot's improper flare.
63998,20080317X00317,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,,0.0,0.0,1.0,0.0,VMC,The pilot's failure to maintain sufficient airspeed while maneuvering which resulted in a stall.
63999,20080205X00136,Accident,2008,MS,United States,Non-Fatal,Substantial,Airplane,Piper,PA32-301FT,1.0,,0.0,0.0,0.0,1.0,VMC,The failure of the fuel servo gasket and subsequent partial loss of engine power.  Contributing to the accident was the none-suitable terrain for the forced landing.
64000,20080214X00188,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Cessna,150J,1.0,Robert E. Tilley,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain directional control during landing roll out.
64001,20080305X00269,Accident,2008,MS,United States,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's misjudgement of the landing flare resulting in a hard landing.
64003,20080321X00361,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Piper,J3-C65,1.0,,0.0,2.0,0.0,0.0,VMC,The pilot's failure to maintain directional control while landing. Contributing was the gusty crosswind condition.
64007,20080321X00359,Accident,2008,AL,United States,Non-Fatal,Substantial,Airplane,Cessna,210G,1.0,,0.0,0.0,0.0,3.0,VMC,The pilot's failure to properly secure the airplane before attempting to hand-prop the engine.
64008,20080212X00178,Incident,2008,FL,United States,Non-Fatal,Minor,Airplane,Boeing,B757-200,1.1327227239960989,AMERICAN AIRLINES COMMERCIAL FLIGHT OPERATIONS,0.0,6.0,0.0,140.0,VMC,"the arcing of the windshield heat system at the upper, aft (J1) and upper, forward (J4) terminal locations on the first officer's windshield, which caused the inner pane of glass to fracture."
64010,20080322X00367,Accident,2008,MS,United States,Non-Fatal,Substantial,Airplane,Beech,C90-1,2.0,,0.0,0.0,0.0,4.0,IMC,An inadvertent encounter with in-cloud turbulence.
64012,20080211X00172,Accident,2008,ME,United States,Fatal,Destroyed,Airplane,Cessna,525,2.0,Jeanette A. Symons,2.0,0.0,0.0,0.0,IMC,The pilot's spatial disorientation and subsequent failure to maintain airplane control.
64014,20080211X00174,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,West Valley Flying Club,0.0,0.0,0.0,1.0,VMC,Loss of engine power during the takeoff initial climb due to lack of compression to a cylinder.
64016,20080206X00142,Accident,2008,OK,United States,Fatal,Destroyed,Airplane,Cirrus Design Corp,SR22,1.0,JACKSON WILLIAM P,2.0,0.0,0.0,0.0,VMC,"The flight instructor's failure to maintain control of the airplane, which resulted in an inadvertent stall while maneuvering."
64017,20080211X00167,Accident,2008,WA,United States,Non-Fatal,Substantial,Airplane,Bellanca,17-30A,1.0,,0.0,0.0,1.0,0.0,VMC,Loss of engine power while on final approach for undetermined reasons. Contributing to the accident was a power line.
64019,20080219X00209,Accident,2008,CA,United States,Fatal,Destroyed,Airplane,Cessna,340A,2.0,Michael J. Bybyk,4.0,0.0,0.0,0.0,IMC,The pilot's continued visual flight into instrument meteorological conditions and failure to maintain terrain clearance while en route.  Contributing to the accident were clouds and mountainous terrain.
64023,20080228X00244,Accident,2008,OK,United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Christiansen Aviation Inc,0.0,0.0,0.0,1.0,VMC,The owner of the parking surface's failure to ensure that the parking surface was clear of hazards to taxiing airplanes and the pilot's failure to ensure a safe taxi route in unfamiliar surroundings.
64027,20080211X00168,Accident,2008,UT,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32R-301T,1.0,,0.0,0.0,0.0,1.0,VMC,"The pilot's improper in-flight decision not to over fly/inspect the snow covered runway prior to landing, and his failure to align the airplane over the centerline of the runway. Contributing to the accident was the snow covered runway, the airport operator's failure to properly plow and clear the runway, and hidden obstructions (previously plowed snow) under the freshly fallen snow."
64028,20080219X00205,Accident,2008,TX,United States,Fatal,Destroyed,Airplane,Cessna,210,1.0,,1.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain aircraft control after flying into clouds.
64032,20080306X00277,Incident,2008,TX,United States,Non-Fatal,Minor,Airplane,Cessna,172S,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain control of the airplane while parked on the ramp with the engine running.
64034,20080208X00158,Incident,2008,FL,United States,Non-Fatal,Minor,Airplane,Piper,PA-28-161,1.1327227239960989,,0.0,0.0,0.0,1.0,VMC,"The pilot's failure to adhere to the controller's takeoff instruction.  Contributing to the incident was the controller's failure to properly monitor the flight, and the controller's decision to perform lesser duty priorities during the takeoff roll.  
"
64035,20080319X00330,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Cessna,C-172RG,1.0,,0.0,0.0,0.0,2.0,VMC,"A cracked nose gear actuator o-ring resulting in hydraulic fluid exhaustion, and collapse of the main gear."
64036,20080326X00386,Accident,2008,AK,United States,Non-Fatal,Substantial,Airplane,Cessna,207,1.0,Flight Alaska Inc.,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain control of the airplane during the landing flare/touchdown.
64039,20080213X00184,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,,0.0,0.0,0.0,2.0,VMC,"Separation of the turbocharger exhaust stack, which resulted in a loss of engine power."
64041,20080220X00211,Accident,2008,AZ,United States,Non-Fatal,Substantial,Airplane,Cessna,172SP,1.0,National Pilot Academy,0.0,0.0,0.0,2.0,VMC,an in-flight collision with a bird.
64042,20080222X00232,Accident,2008,MN,United States,Fatal,Substantial,Airplane,Cessna,140,1.0,,1.0,0.0,0.0,0.0,IMC,"The pilot's continued visual flight into an area of known instrument meteorological conditions in an airplane not equipped for instrument flight, and his failure to maintain control of the airplane while maneuvering at low altitude."
64046,20080321X00356,Accident,2008,IL,United States,Non-Fatal,Substantial,Airplane,Cessna,172RG,1.0,,0.0,0.0,0.0,2.0,VMC,"The pilot's intentional low altitude flight and his failure to maintain clearance from the static wire.  Contributing to the accident were the static wire, the partial loss of engine power due to propeller vibration, and the muddy field in which the forced landing was made."
64048,20080324X00373,Accident,2008,IL,United States,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,,0.0,0.0,0.0,2.0,VMC,The flight instructor's failure to correct for proper runway alignment during final approach and his failure to maintain aircraft control during his subsequent go-around.  Contributing to the accident was the dual-student's failure to properly align with the runway centerline during final approach and the dark night.
64049,20080515X00669,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Skymates Inc.,0.0,0.0,0.0,1.0,VMC,The student pilot's improper landing flare resulting in a hard landing.  Contributing to the accident were the gusty surface winds and the student pilot's inadequate preflight planning. 
64050,20080219X00210,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,Gavin Aviation,0.0,3.0,0.0,0.0,VMC,The loss of engine power for undetermined reasons.  Contributing factors were the lack of suitable terrain for the forced landing and dark night conditions.
64051,20080225X00234,Accident,2008,UT,United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Roy D. Hugie,0.0,0.0,0.0,2.0,VMC,"The dual-student's excessive brake application, and the flight instructor's inadequate supervision of the flight."
64053,20080306X00276,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,,0.0,0.0,0.0,3.0,VMC,The pilot's delay in aborting the landing.
64056,20080416X00494,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,177RG,1.0,,0.0,0.0,1.0,0.0,VMC,"
Pilot's inaccurate fuel management resulting in fuel exhaustion."
64057,20080213X00186,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-235,1.0,,0.0,0.0,1.0,0.0,VMC,Failure of the pilot to ensure that the fuel system was purged of water prior to flight.  Contributing to the severity of injuries was the lack of shoulder restraints.
64058,20080227X00239,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Piper,J3C-65,1.0,,0.0,0.0,0.0,1.0,VMC,Failure of the pilot to maintain a safe clearance from the terrain while manuevering for the landing surface.
64059,20080228X00246,Accident,2008,AZ,United States,Non-Fatal,Substantial,Airplane,Cessna,P210N,1.0,,0.0,0.0,0.0,1.0,VMC,The collapse of the landing gear during landing rollout for undetermined reasons.
64060,20080306X00278,Accident,2008,MT,United States,Non-Fatal,Substantial,Airplane,Maule,M-7-235,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's inadequate compensation for the crosswind and failure to maintain directional control during the landing roll.
64061,20080321X00362,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Beech,23,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain directional control of the airplane during the landing. Contributing was the gusting wind conditions.
64063,20080627X00934,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Maule,M-7-260C,1.0,Jack R. Keller,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain directional control during an aborted landing. Contributing to the accident were the gusty crosswind conditions.
64067,20080220X00221,Accident,2008,CO,United States,Non-Fatal,Substantial,Airplane,Beech,A45,1.0,"Goldwing Aviation, LLC",0.0,0.0,0.0,2.0,VMC,"The pilot's improper decision to fly the airplane with a discharged battery, which resulted in a total electrical failure during takeoff climb.  Contributing factors were the pilot's inability to verify the landing gear position, and the impact with the runway sign."
64070,20080220X00215,Accident,2008,KS,United States,Fatal,Destroyed,Airplane,Piper,PA-23-250,2.0,,1.0,0.0,0.0,0.0,VMC,The loss of pitch control during cruise flight resulting from the separation of the stabilator trim actuator due to inadequate maintenenace.
64073,20080222X00231,Accident,2008,IL,United States,Non-Fatal,Substantial,Airplane,Cessna,425,2.0,FLIGHT CONCEPTS INC,0.0,0.0,0.0,2.0,VMC,The pilot not maintaining clearance from the runway sign during taxi for takeoff.  A factor contributing to the accident was an icy taxiway.
64074,20080306X00279,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's inadequate compensation for the crosswind condition and failure to maintain directional control during landing.
64077,20080322X00365,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's improper flare.
64078,20080516X00689,Accident,2008,HI,United States,Non-Fatal,Substantial,Airplane,Cessna,305-A,1.0,Honolulu Soaring Club,0.0,0.0,0.0,1.0,VMC,The failure of the left main landing gear strut due to fatigue. Contributing to the failure was the side load placed on the landing gear while making a crosswind landing.
64080,20080305X00266,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,"Worldwide Aviation Group, Inc.",0.0,0.0,0.0,1.0,VMC,The student pilot's inadequate recovery from a bounced landing.
64081,20080326X00388,Accident,2008,ME,United States,Non-Fatal,Substantial,Airplane,Cessna,182K,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain directional control during the landing roll. Contributing to the accident were the snow covered runway and sun glare light conditions.
64086,20080321X00358,Accident,2008,WI,United States,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot not maintaining directional control during the landing and the ground loop the pilot encountered.  A factor was the crosswind.
64088,20080220X00216,Accident,2008,KS,United States,Fatal,Destroyed,Airplane,Cessna,414A,2.0,,2.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain clearance from the trees. Contributing to the accident was the pilot's flight into known adverse weather conditions and the low clouds and visibility.
64089,20080313X00311,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,,0.0,0.0,0.0,2.0,VMC,The failure of both pilots to maintain directional control during landing and the flight instructor's inadequate supervision of the flight.
64090,20080313X00312,Accident,2008,MT,United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain alignment with the runway while landing and executing a go-around.
64097,20080325X00383,Accident,2008,TN,United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,,0.0,0.0,0.0,2.0,VMC,The flight instructor's inadequate remedial action. Contributing to the accident was the student pilot's failure to maintain directional control during the landing roll.
64098,20080326X00387,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-30,2.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain directional control during the landing roll.
64099,20080330X00399,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Central Georgia Aviation,0.0,0.0,0.0,1.0,VMC,The student pilot's inadequate compensation for wind conditions during landing. Contributing to the accident were the gusting winds.
64107,20080319X00336,Accident,2008,MD,United States,Fatal,Substantial,Airplane,Beech,A36,1.0,BZM LLC.,2.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain the proper approach course for undetermined reasons.
64108,20080229X00247,Accident,2008,AZ,United States,Non-Fatal,Substantial,Airplane,Cessna,210,1.0,,0.0,1.0,0.0,1.0,VMC,A loss of engine power while on final approach due to multiple grounding faults in the ignition system as a result of poor ignition system maintenance.
64111,20080310X00291,Accident,2008,IL,United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,,0.0,0.0,0.0,2.0,VMC,"The left wing skin ""fabric patch"" separated from the wing ribs and spars for an undetermined reason."
64112,20080413X00464,Accident,2008,GA,United States,Non-Fatal,Unknown,Airplane,Boeing,737-700,2.0,Southwest Airlines Co.,0.0,0.0,1.0,102.0,IMC,"An unexpected encounter with turbulence, while on approach for landing."
64113,20080305X00267,Incident,2008,NV,United States,Non-Fatal,Unknown,Airplane,Boeing,737-300,2.0,Southwest Airlines Co.,0.0,6.0,0.0,136.0,VMC,An inadvertent encounter with severe turbulence during descent and the failure of two passenger seat belt attach fittings.  Contributing to the incident was the failure of the operator to comply with the SAIB.
64117,20080416X00489,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Piper,PA 32-300,1.0,,0.0,0.0,0.0,3.0,VMC,The pilot's failure to maintain clearance/altitude while on the final leg of the approach.
64120,20080403X00424,Accident,2008,UT,United States,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain directional control of the tail wheel-equipped airplane during the flare/touchdown phase of a three-point landing.
64121,20080408X00440,Accident,2008,GA,United States,Non-Fatal,Substantial,Airplane,Beech,A36,1.0,C & S AVIATION INC,0.0,0.0,0.0,2.0,VMC,The loss of propeller thrust due to the unseating of an internal propeller hub bushing. Contributing to the accident was the manufacturer's inadequate procedure to secure the bushing.
64122,20080304X00257,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,FLIGHT EXPRESS INC,0.0,0.0,0.0,1.0,VMC,The malfunction of the right main landing gear down-and-locked switch.
64123,20080306X00281,Accident,2008,AK,United States,Fatal,Substantial,Airplane,Cessna,170B,1.0,,1.0,0.0,0.0,0.0,VMC,"The pilot's failure to maintain adequate airspeed to prevent a stall while maneuvering, which resulted in an uncontrolled descent and collision with terrain."
64125,20080324X00370,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,,0.0,2.0,1.0,0.0,VMC,"The pilot's inadequate in-flight decision by failing to refuel, resulting in fuel exhaustion and the loss of engine power."
64126,20080430X00565,Accident,2008,AZ,United States,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,,0.0,0.0,0.0,2.0,VMC,"The flight crew's inadvertent retraction of the landing gear during the landing roll, and the flight instructor's inadequate supervision of the flight."
64127,20080305X00271,Accident,2008,CA,United States,Fatal,Destroyed,Airplane,Mooney,M20C,1.0,,3.0,0.0,0.0,0.0,VMC,"The pilot's failure to maintain airspeed and aircraft control, resulting in an aerodynamic stall."
64129,20080414X00468,Accident,2008,MS,United States,Non-Fatal,Substantial,Airplane,Beech,B-55,2.0,,0.0,0.0,0.0,1.0,VMC,"The pilot's improper flare, which resulted in a hard landing during the first attempt, and subsequent collapse of the nose landing gear during the second landing attempt. Contributing to the accident was the wind gusts."
64130,20080407X00435,Accident,2008,CA,United States,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,,0.0,0.0,0.0,1.0,VMC,The pilot's continued operation with a known mechanical problem and failure to maintain directional control.
64131,20080416X00495,Accident,2008,FL,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,,0.0,0.0,0.0,1.0,VMC,The student pilot's failure to maintain directional control of the airplane during an aborted takeoff.
64134,20080307X00283,Incident,2008,TX,United States,Non-Fatal,Minor,Airplane,Boeing,737-3H4,2.0,SOUTHWEST AIRLINES CO,0.0,0.0,0.0,244.0,IMC,The failure of the taxiing flight crew to maintain an adequate clearance from the stationary airplane.
64136,20080401X00406,Accident,2008,IL,United States,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Pilot,0.0,0.0,0.0,3.0,VMC,"The pilot's inadequate compensation for wind conditions, and his failure to obtain/maintain directional control. Contributing factors were a crosswind and a snow bank."
64138,20080321X00353,Accident,2008,NJ,United States,Non-Fatal,Substantial,Airplane,Cessna,172SP,1.0,,0.0,0.0,0.0,2.0,VMC,The certificated flight instructor's delayed decision to go-around.
64139,20080322X00366,Accident,2008,TN,United States,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,,0.0,0.0,0.0,1.0,VMC,"The pilot's improper flare, which resulted in a hard landing."
64140,20080331X00402,Accident,2008,NE,United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-135,1.0,,0.0,0.0,0.0,1.0,VMC,The inadequate compensation for wind conditions and the directional control not obtained/maintained by the pilot during landing. A contributing factor was the crosswind.
64142,20080413X00463,Accident,2008,WV,United States,Non-Fatal,Substantial,Airplane,Cessna,182Q,1.0,,0.0,0.0,0.0,2.0,VMC,The pilot's failure to obtain a proper touchdown point. Contributing to the accident was the windshear as reported by the pilot.
64143,20080416X00490,Accident,2008,MA,United States,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,East Coast Aero Club,0.0,0.0,0.0,2.0,VMC,The failure of the flightcrew to maintain directional control of the airplane.
64147,20080318X00325,Accident,2008,AL,United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,,0.0,0.0,0.0,1.0,VMC,"The pilot's improper landing flare, resulting in a hard landing."
64148,20080404X00430,Accident,2008,AZ,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,,0.0,0.0,0.0,2.0,VMC,"The student pilot's delay in initiating the go-around, and the flight instructor's inadequate supervision of the flight and delayed remedial action. Contributing to the accident were the momentary failure of the engine to respond, the failure of both the student and the instructor to adhere to the operator's procedures, and the rough/uneven terrain."
64151,20080311X00297,Accident,2008,OK,United States,Fatal,Destroyed,Airplane,Cessna,500,2.0,Interstate Helicopters Inc,5.0,0.0,0.0,0.0,VMC,"Airplane wing-structure damage sustained during impact with one or more large birds (American white pelicans), which resulted in a loss of control of the airplane."
64155,20080610X00818,Accident,2008,AK,United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Alaska Cub Training Specialist LLC,0.0,0.0,0.0,2.0,VMC,The flight instructor's inadequate evaluation of  the weather conditions. Contributing to the accident was an inadvertent stall/mush.
64156,20080320X00343,Accident,2008,TX,United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,WRIGHT FLYERS AVIATION INC,0.0,0.0,0.0,2.0,VMC,The pilot's failure to maintain airspeed during the landing flare which resulted in a hard landing.
64157,20080327X00392,Accident,2008,AK,United States,Non-Fatal,Substantial,Airplane,Cessna,185,1.0,John Clark,0.0,0.0,0.0,3.0,VMC,The pilot's selection of unsuitable terrain for takeoff.
64158,20080403X00421,Accident,2008,ID,United States,Non-Fatal,Substantial,Airplane,Maule,M-4,1.0,,0.0,0.0,0.0,3.0,VMC,The failure of both pilots to maintain directional control of the airplane during takeoff.
